AF3_ID,add_side_temp,pred_addside_mean_GIPR_activity_mean,pred_addside_mean_GIPR_activity_std,pred_addside_mean_GLP1R_activity_mean,pred_addside_mean_GLP1R_activity_std,pred_addside_mean_GCGR_activity_mean,pred_addside_mean_GCGR_activity_std,pred_addside_mean_pEC50_GIPR_activity_mean,pred_addside_mean_pEC50_GIPR_activity_std,pred_addside_mean_pEC50_GLP1R_activity_mean,pred_addside_mean_pEC50_GLP1R_activity_std,pred_addside_mean_pEC50_GCGR_activity_mean,pred_addside_mean_pEC50_GCGR_activity_std
1,retatrutide_side,0.03098,0.0040855844135203,0.15308000000000002,0.052190535540459826,0.49377999999999994,0.18608650407807656,10.511976830888068,0.05709152399292666,9.836531399597927,0.1549123079955973,9.328506861401735,0.15046339865942224
1,semaglutide_side,0.03498,0.0037359068510871623,0.24618,0.08972787749635004,0.7524200000000001,0.26163665072003967,10.458343063367888,0.047599909810341366,9.63284598898868,0.16346906436949143,9.145572559266167,0.15651708394911823
1,tirzepatide_side,0.031979999999999995,0.004000874904317805,0.20667999999999997,0.08152721631455351,0.62978,0.24825778336237517,10.497763695540305,0.05576922181341129,9.71080859444948,0.1664516229793483,9.225416421777595,0.1600225104975458
49,retatrutide_side,0.023880000000000002,0.00579068217052188,0.023799999999999998,0.021008212679806914,0.056979999999999996,0.029006413084006095,10.632630274526878,0.10683282627320076,10.778333120629243,0.4163662995513215,10.29396618253424,0.2370301990628662
49,semaglutide_side,0.02948,0.013477462669211888,0.029359999999999997,0.0314282198032278,0.09136,0.06621701442982762,10.563938128771065,0.18527681492952802,10.744607976347577,0.4918754031886022,10.1159409675173,0.2775540583126981
49,tirzepatide_side,0.02454,0.008357810718124695,0.024,0.0255670686626371,0.07698,0.05085014257600465,10.628277818375347,0.1360912833962127,10.819484159046416,0.4700023292906956,10.181958841137822,0.26594137445514127
128,retatrutide_side,0.006500000000000001,0.0020796634343085425,0.0598,0.033407184855955764,737.62676,595.9605532743866,11.207306914161308,0.1505869546486389,10.281838727577298,0.25724135935339,6.280672234762194,0.4341940422458269
128,semaglutide_side,0.00852,0.0024519380090043063,0.08954,0.03245193368660795,1216.49624,707.222040333853,11.083889972311619,0.12653699715483627,10.074331113653724,0.17545277291617112,6.020787973074816,0.3973946708447038
128,tirzepatide_side,0.00762,0.00246819772303598,0.08396,0.036762045644931136,1043.7948000000001,660.3426638999823,11.136401489796643,0.14463649543718243,10.120634818330975,0.23903534456584902,6.101095962598601,0.41581897341376034
141,retatrutide_side,0.04018,0.026539159745553365,0.12552,0.08085590269114556,0.51686,0.34588948813168635,10.451056372819126,0.2235229541532149,9.975538784881703,0.2828423782746682,9.43162797264167,0.4680730768000183
141,semaglutide_side,0.043820000000000005,0.022180779968251792,0.14179999999999998,0.09728643276428629,0.86008,0.6450116293525258,10.396538286788907,0.1958915922499046,9.938147606765025,0.3207873662175378,9.229988004076812,0.5083561220823837
141,tirzepatide_side,0.038680000000000006,0.022639721729738643,0.12431999999999999,0.09336360104451841,0.74526,0.5497923953639229,10.461366911103475,0.2190020134011897,10.001354329011392,0.3233900961798274,9.292034069044645,0.5070423311676057
187,retatrutide_side,0.00292,0.0006723094525588645,0.02016,0.011747893428185326,485.0286,235.5836670355672,11.54316874422506,0.10386013678122658,10.746626183068363,0.22976705910837386,6.36481666596804,0.24986865322740878
187,semaglutide_side,0.00366,0.0010990905331227266,0.0365,0.02657790435681489,986.1844000000001,955.767246632861,11.449776211890738,0.13539183536418814,10.517206193139753,0.28191096304850777,6.127528891210631,0.33505590264587737
187,tirzepatide_side,0.0033,0.001019803902718557,0.02812,0.01672055621084418,767.70938,651.91032548246,11.501775085181773,0.14736363265683863,10.608080213876217,0.24380152185149107,6.213951532360244,0.31043369717410796
